,Title,ID,Genre ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Primary Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV,Thriller,War,Western
0,Locke,329571,[99],2013-12-03,2013,12,3,/o0FVL75kkQ77Bkpt1fVEEEyOLBY.jpg,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bee Movie,5559,"[10751, 16, 12, 35]",2007-10-28,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,Family,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,The Social Network,37799,[18],2010-10-01,2010,10,1,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Kick-Ass,23483,"[28, 80]",2010-03-22,2010,3,22,/GPiMXaDC2NdDIldLgtijHFTeKH.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,True Grit,44264,"[18, 12, 37]",2010-12-22,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,Drama,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,Scott Pilgrim vs. the World,22538,"[35, 28, 10749, 10402, 14]",2010-08-12,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,Comedy,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
6,Boyhood,85350,[18],2014-06-05,2014,6,5,/1rlqd3j5UC4r1TF3UmcKupMyuxR.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,The Lego Movie,137106,"[12, 16, 35, 10751, 14]",2014-02-06,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,Adventure,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8,Gone Girl,210577,"[9648, 53, 18]",2014-10-01,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,Mystery,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
9,Mad Max: Fury Road,76341,"[28, 12, 878]",2015-05-13,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Up,14160,"[16, 35, 10751, 12]",2009-05-28,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Requiem for a Dream,641,"[80, 18, 53]",2000-10-06,2000,10,6,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Finding Nemo,12,"[16, 10751]",2003-05-30,2003,5,30,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,Animation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Stuart Little,10137,"[10751, 16, 14, 35]",1999-12-17,1999,12,17,/jQ1ONtcKGKmqSn9V2bLwF1wYF3F.jpg,Family,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14,Rise of the Planet of the Apes,61791,"[53, 28, 18, 878]",2011-08-03,2011,8,3,/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,Thriller,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
