,Title,ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Film Index,Genre #,Genre
1,Bee Movie,5559,10/28/2007,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,1,0,Family
2,Bee Movie,5559,10/28/2007,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,1,1,Animation
3,Bee Movie,5559,10/28/2007,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,1,2,Adventure
4,Bee Movie,5559,10/28/2007,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,1,3,Comedy
5,The Social Network,37799,10/1/2010,2010,10,1,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,2,0,Drama
6,Kick-Ass,23483,3/22/2010,2010,3,22,/GPiMXaDC2NdDIldLgtijHFTeKH.jpg,3,0,Action
7,Kick-Ass,23483,3/22/2010,2010,3,22,/GPiMXaDC2NdDIldLgtijHFTeKH.jpg,3,1,Crime
8,True Grit,44264,12/22/2010,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,4,0,Drama
9,True Grit,44264,12/22/2010,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,4,1,Adventure
10,True Grit,44264,12/22/2010,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,4,2,Western
11,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,5,0,Comedy
12,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,5,1,Action
13,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,5,2,Romance
14,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,5,3,Music
15,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,5,4,Fantasy
16,Boyhood,85350,6/5/2014,2014,6,5,/1rlqd3j5UC4r1TF3UmcKupMyuxR.jpg,6,0,Drama
17,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,7,0,Adventure
18,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,7,1,Animation
19,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,7,2,Comedy
20,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,7,3,Family
21,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,7,4,Fantasy
22,Gone Girl,210577,10/1/2014,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,8,0,Mystery
23,Gone Girl,210577,10/1/2014,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,8,1,Thriller
24,Gone Girl,210577,10/1/2014,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,8,2,Drama
25,Mad Max: Fury Road,76341,5/13/2015,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,9,0,Action
26,Mad Max: Fury Road,76341,5/13/2015,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,9,1,Adventure
27,Mad Max: Fury Road,76341,5/13/2015,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,9,2,Science Fiction
28,Up,14160,5/28/2009,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,10,0,Animation
29,Up,14160,5/28/2009,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,10,1,Comedy
30,Up,14160,5/28/2009,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,10,2,Family
31,Up,14160,5/28/2009,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,10,3,Adventure
32,Requiem for a Dream,641,10/6/2000,2000,10,6,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,11,0,Crime
