,Title,ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7
1,Bee Movie,5559,10/28/2007,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,Family,Animation,Adventure,Comedy,,,
2,The Social Network,37799,10/1/2010,2010,10,1,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,Drama,,,,,,
3,Kick-Ass,23483,3/22/2010,2010,3,22,/GPiMXaDC2NdDIldLgtijHFTeKH.jpg,Action,Crime,,,,,
4,True Grit,44264,12/22/2010,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,Drama,Adventure,Western,,,,
5,Scott Pilgrim vs. the World,22538,8/12/2010,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,Comedy,Action,Romance,Music,Fantasy,,
6,Boyhood,85350,6/5/2014,2014,6,5,/1rlqd3j5UC4r1TF3UmcKupMyuxR.jpg,Drama,,,,,,
7,The Lego Movie,137106,2/6/2014,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,Adventure,Animation,Comedy,Family,Fantasy,,
8,Gone Girl,210577,10/1/2014,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,Mystery,Thriller,Drama,,,,
9,Mad Max: Fury Road,76341,5/13/2015,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,Action,Adventure,Science Fiction,,,,
10,Up,14160,5/28/2009,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,Animation,Comedy,Family,Adventure,,,
11,Requiem for a Dream,641,10/6/2000,2000,10,6,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,Crime,Drama,Thriller,,,,
12,Finding Nemo,12,5/30/2003,2003,5,30,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,Animation,Family,,,,,
13,Stuart Little,10137,12/17/1999,1999,12,17,/jQ1ONtcKGKmqSn9V2bLwF1wYF3F.jpg,Family,Animation,Fantasy,Comedy,,,
14,Rise of the Planet of the Apes,61791,8/3/2011,2011,8,3,/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,Thriller,Action,Drama,Science Fiction,,,
15,Good Will Hunting,489,12/5/1997,1997,12,5,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,Drama,,,,,,
16,The Lord of the Rings: The Return of the King,122,12/1/2003,2003,12,1,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,Adventure,Fantasy,Action,,,,
17,Shutter Island,11324,2/14/2010,2010,2,14,/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg,Drama,Thriller,Mystery,,,,
18,The Shawshank Redemption,278,9/23/1994,1994,9,23,/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,Drama,Crime,,,,,
19,Saving Private Ryan,857,7/24/1998,1998,7,24,/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg,Drama,History,War,,,,
20,Stand by Me,235,8/8/1986,1986,8,8,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,Crime,Drama,,,,,
21,Spirited Away,129,7/20/2001,2001,7,20,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,Animation,Family,Fantasy,,,,
22,Walk the Line,69,9/13/2005,2005,9,13,/zMkD6FVikyPNnigoupO7vD5ti9p.jpg,Drama,Music,Romance,,,,
23,Raiders of the Lost Ark,85,6/12/1981,1981,6,12,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,Adventure,Action,,,,,
24,Pulp Fiction,680,9/10/1994,1994,9,10,/plnlrtBUULT0rh3Xsjmpubiso3L.jpg,Thriller,Crime,,,,,
25,Fight Club,550,10/15/1999,1999,10,15,/8kNruSfhk5IoE4eZOc4UpvDn6tq.jpg,Drama,,,,,,
26,Forrest Gump,13,7/6/1994,1994,7,6,/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,Comedy,Drama,Romance,,,,
27,Heat,949,12/15/1995,1995,12,15,/obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,Action,Crime,Drama,Thriller,,,
28,Whiplash,244786,10/10/2014,2014,10,10,/9E949mB5NEq3BZu9nHQgWF2uGGN.jpg,Drama,Music,,,,,
29,The Dark Knight,155,7/16/2008,2008,7,16,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Drama,Action,Crime,Thriller,,,
30,L.A. Confidential,2118,9/19/1997,1997,9,19,/Rzope4Pk93Rg1Q2Ae8H0FYwa7n.jpg,Crime,Thriller,,,,,
31,GoodFellas,769,9/12/1990,1990,9,12,/6QMSLvU5ziIL2T6VrkaKzN2YkxK.jpg,Drama,Crime,,,,,
32,Taxi Driver,103,2/9/1976,1976,2,9,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,Crime,Drama,,,,,
33,Jaws,578,6/18/1975,1975,6,18,/s2xcqSFfT6F7ZXHxowjxfG0yisT.jpg,Horror,Thriller,Adventure,,,,
34,Vertigo,426,5/28/1958,1958,5,28,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,Mystery,Romance,Thriller,,,,
35,American Psycho,1359,4/13/2000,2000,4,13,/3ddHhfMlZHZCefHDeaP8FzSoH4Y.jpg,Thriller,Drama,Crime,Horror,,,
36,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1/29/1964,1964,1,29,/3clod4q8qkgU7pyOmZ7Re0G7GDc.jpg,Drama,Comedy,War,,,,
